node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
vga(G)	vga	vga(G)	LINCOSAMIDE	LINCOSAMIDE	Listeria innocua;Listeria monocytogenes_B	1	0	1	1	1
vga(G)	vga	vga(G)	LINCOSAMIDE	LINCOSAMIDE	Listeria monocytogenes;Salmonella houtenae	1	0	1	1	1
lnu(B)	lnu_BFG	lnu(B)	LINCOSAMIDE	LINCOSAMIDE	Listeria kieliensis_A	1	0	1	0.3333333333333333	3
oqxA	RND-peri	oqxA	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Enterobacter hormaechei_A;Listeria monocytogenes_B	1	0	1	1	1
mef(A)	mef_gen	mef(A)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
sul3	sul	sul3	SULFONAMIDE	SULFONAMIDE	Listeria monocytogenes_B;Salmonella enterica	1	0	1	0.06666666666666667	15
tet(K)	tet_L_K_45	tet(K)	TETRACYCLINE	TETRACYCLINE	Listeria innocua	1	0	1	6.464124111182935e-4	1547
tet(K)	tet_L_K_45	tet(K)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes_B	1	0	1	3.340236488743403e-5	29938
fos_A_A2	fosA_gen	fosA	FOSFOMYCIN	FOSFOMYCIN	Enterobacter hormaechei_A;Listeria monocytogenes_B	1	0	1	1	1
tet(L)	tet_L_K_45	tet(L)	TETRACYCLINE	TETRACYCLINE	Listeria fleischmannii	1	0	1	0.0625	16
tet(L)	tet_L_K_45	tet(L)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes_B	1	0	1	3.340236488743403e-5	29938
erm(A)	erm-23S_rRNA	erm(A)	LINCOSAMIDE/MACROLIDE	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
tet(G)	tet_A_B_C_D	tet(G)	TETRACYCLINE	TETRACYCLINE	Listeria monocytogenes_B;Salmonella enterica	1	0	1	0.06666666666666667	15
ble-Sh	ble	ble-Sh	BLEOMYCIN	BLEOMYCIN	Listeria monocytogenes_B	1	0	1	3.340236488743403e-5	29938
blaCTX-M	bla-A	blaCTX-M	BETA-LACTAM	CEPHALOSPORIN	Listeria monocytogenes_B	1	0	1	3.340236488743403e-5	29938
oqxB	RND-IM	oqxB	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	Enterobacter hormaechei_A;Listeria monocytogenes_B	1	0	1	1	1
mef(B)	mef_gen	mef(B)	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	Listeria monocytogenes_B;Salmonella enterica	1	0	1	0.06666666666666667	15
ant(4')-Ia	ant(4')-I	aadD1	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	Listeria monocytogenes	1	0	1	3.438434824467902e-5	29083
blaNDM	bla-B1	blaNDM	BETA-LACTAM	CARBAPENEM	Listeria monocytogenes_B	1	0	1	3.340236488743403e-5	29938
