node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
aac(6')-Il	aac(6')-I	aac(6')-Il	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
sul3	sul	sul3	SULFONAMIDE	SULFONAMIDE	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
aph(3')-VI	aph(3')	aph(3')-VI	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
arr-2b	arr	arr	RIFAMYCIN	RIFAMYCIN	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
dfrA35	dfr_gen	dfrA35	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
blaCTX-M-12	blaCTX-M	blaCTX-M-12	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
blaCTX-M-2	blaCTX-M	blaCTX-M-2	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
blaGES-5	blaGES	blaGES-5	BETA-LACTAM	CARBAPENEM	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
blaLEN-21	blaLEN	blaLEN-21	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
blaSHV-11	blaSHV	blaSHV-11	BETA-LACTAM	BETA-LACTAM	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
blaSHV-2	blaSHV	blaSHV-2	BETA-LACTAM	CEPHALOSPORIN	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
gyrA	NA	gyrA_D87G	QUINOLONE	QUINOLONE	Klebsiella variicola	3	0	3	0.0012376237623762376	2424
aac(3)-I	NA	NA	NA	NA	Klebsiella variicola	0	3	3	0.0012376237623762376	2424
aac(6')-I	NA	NA	NA	NA	Klebsiella variicola	0	3	3	0.0012376237623762376	2424
aac(3)-Ia	aac(3)-I	aac(3)-Ia	AMINOGLYCOSIDE	GENTAMICIN	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
aac(6')-IIa	aac(6')-II	aac(6')-IIa	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
catB8	catB	catB8	PHENICOL	CHLORAMPHENICOL	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
dfrA7	dfrA	dfrA7	TRIMETHOPRIM	TRIMETHOPRIM	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
erm(42)	erm-23S_rRNA	erm(42)	LINCOSAMIDE/MACROLIDE	CLINDAMYCIN/ERYTHROMYCIN	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
rmtG	rmt	rmtG	AMINOGLYCOSIDE	AMINOGLYCOSIDE	Klebsiella variicola	2	0	2	8.250825082508251e-4	2424
